Rank,Title,Artist,Year,Width,Height,Megapixels,HighResUrl,WikiArtUrl,LocalFileName,FileSizeBytes
57,The Creation of Adam,Michelangelo,1508-1512,4256,2843,12.1,https://uploads3.wikiart.org/00255/images/57726d7fedc2cb3880b4805e/creaci-n-de-ad-n.jpg,https://www.wikiart.org/en/michelangelo/the-creation-of-adam-1512,057_Michelangelo_-_The_Creation_of_Adam_4256x2843.jpg,9494881
61,Where Do We Come From? What Are We? Where Are We Going?,Paul Gauguin,1897-1898,3090,1175,3.63,https://uploads6.wikiart.org/00129/images/paul-gauguin/where-do-we-come-from-what-are-we-where-are-we-going.jpg,https://www.wikiart.org/en/paul-gauguin/where-do-we-come-from-what-are-we-where-are-we-going-1897,061_Paul_Gauguin_-_Where_Do_We_Come_From_What_Are_We_W_3090x1175.jpg,1570473
62,Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,1884-1886,4999,3328,16.64,https://uploads7.wikiart.org/00142/images/georges-seurat/sunday-afternoon-on-the-island-of-la-grande-jatte.jpg,https://www.wikiart.org/en/georges-seurat/sunday-afternoon-on-the-island-of-la-grande-jatte-1886,062_Georges_Seurat_-_Sunday_Afternoon_on_the_Island_of_L_4999x3328.jpg,7018475
66,Lamentation (The Mourning of Christ),Giotto,1304-1306,1000,925,0.92,https://uploads2.wikiart.org/images/giotto/lamentation-the-mourning-of-christ.jpg,https://www.wikiart.org/en/giotto/lamentation-the-mourning-of-christ-1306-1,066_Giotto_-_Lamentation_(The_Mourning_of_Christ_1000x925.jpg,196638
69,The Potato Eaters,Vincent van Gogh,1885,3543,2517,8.92,https://uploads2.wikiart.org/00129/images/vincent-van-gogh/the-potato-eaters.jpg,https://www.wikiart.org/en/vincent-van-gogh/the-potato-eaters-1885-1,069_Vincent_van_Gogh_-_The_Potato_Eaters_3543x2517.jpg,1521210
71,The Archangel Michael defeating Satan,Guido Reni,1635,1657,2441,4.04,https://uploads5.wikiart.org/images/guido-reni/the-archangel-michael-defeating-satan-1635.jpg,https://www.wikiart.org/en/guido-reni/the-archangel-michael-defeating-satan-1635,071_Guido_Reni_-_The_Archangel_Michael_defeating_Sat_1657x2441.jpg,513396
73,The Desperate Man (Self-Portrait),Gustave Courbet,1843-1845,1500,1228,1.84,https://uploads3.wikiart.org/00475/images/gustave-courbet/gustave-courbet-le-d-sesp-r-1843.jpg,https://www.wikiart.org/en/gustave-courbet/the-desperate-man-self-portrait-1845,073_Gustave_Courbet_-_The_Desperate_Man_(Self-Portrait)_1500x1228.jpg,391786
79,Basket of Apples,Paul Cezanne,1895,2536,2003,5.08,https://uploads0.wikiart.org/images/paul-cezanne/still-life-with-bottle-and-apple-basket-1894.jpg,https://www.wikiart.org/en/paul-cezanne/still-life-with-bottle-and-apple-basket-1894,079_Paul_Cezanne_-_Basket_of_Apples_2536x2003.jpg,535414
82,The Arnolfini Wedding. Portrait of Giovanni Arnolfini and his Wife Giovanna Cenami (The Arnolfini Marriage),Jan van Eyck,1434,4386,6000,26.32,https://uploads2.wikiart.org/00129/images/jan-van-eyck/the-arnolfini-wedding.jpg,https://www.wikiart.org/en/jan-van-eyck/the-arnolfini-wedding-the-portrait-of-giovanni-arnolfini-and-his-wife-giovanna-cenami-the-1434,082_Jan_van_Eyck_-_The_Arnolfini_Wedding._Portrait_of_4386x6000.jpg,5659182
83,Las Meninas,Diego Velazquez,1656,5000,5754,28.77,https://uploads6.wikiart.org/00142/images/diego-velazquez/las-meninas.jpg,https://www.wikiart.org/en/diego-velazquez/las-meninas-detail-of-the-lower-half-depicting-the-family-of-philip-iv-of-spain-1656,083_Diego_Velazquez_-_Las_Meninas_5000x5754.jpg,7013037
85,The Artist’s Studio,Gustave Courbet,1854-1855,4999,2946,14.73,https://uploads5.wikiart.org/00142/images/gustave-courbet/the-artist-s-studio.jpg,https://www.wikiart.org/en/gustave-courbet/the-artist-s-studio-1855,085_Gustave_Courbet_-_The_Artist’s_Studio_4999x2946.jpg,5064921
86,Black Square,Kazimir Malevich,1915,1196,1199,1.43,https://uploads7.wikiart.org/00209/images/kazimir-malevich/1915-2.png,https://www.wikiart.org/en/kazimir-malevich/black-square-1915,086_Kazimir_Malevich_-_Black_Square_1196x1199.png,2068226
89,The Virgin and Child with St. Anne,Leonardo da Vinci,1503-1519,5000,6704,33.52,https://uploads7.wikiart.org/00142/images/leonardo-da-vinci/the-virgin-and-child-with-st.jpg,https://www.wikiart.org/en/leonardo-da-vinci/the-virgin-and-child-with-st-anne-1510,089_Leonardo_da_Vinci_-_The_Virgin_and_Child_with_St._Anne_5000x6704.jpg,10527633
90,Mont Sainte-Victoire,Paul Cezanne,1895,1280,1012,1.3,https://uploads5.wikiart.org/images/paul-cezanne/mont-sainte-victoire-3.jpg,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-3,090_Paul_Cezanne_-_Mont_Sainte-Victoire_1280x1012.jpg,234515
91,The Ancient of Days,William Blake,1794,2217,3004,6.66,https://uploads1.wikiart.org/00142/images/57726d7eedc2cb3880b47f24/europe-a-prophecy-copy-k-plate-01.jpg,https://www.wikiart.org/en/william-blake/the-ancient-of-days-1794,091_William_Blake_-_The_Ancient_of_Days_2217x3004.jpg,1494518
92,The Spring,Sandro Botticelli,1478-1482,4926,3236,15.94,https://uploads4.wikiart.org/00129/images/sandro-botticelli/primavera.jpg,https://www.wikiart.org/en/sandro-botticelli/primavera-1478,092_Sandro_Botticelli_-_The_Spring_4926x3236.jpg,6679700
94,The Ninth Wave,Ivan Aivazovsky,1850,5815,3840,22.33,https://uploads7.wikiart.org/images/ivan-aivazovsky/the-ninth-wave-1850-1.jpg,https://www.wikiart.org/en/ivan-aivazovsky/the-ninth-wave-1850-1,094_Ivan_Aivazovsky_-_The_Ninth_Wave_5815x3840.jpg,16019462
96,Dante and Virgil,William-Adolphe Bouguereau,1850,2803,3515,9.85,https://uploads7.wikiart.org/00142/images/57726d86edc2cb3880b49101/william-bouguereau-dante-and-virgile-google-art-project-2.jpg,https://www.wikiart.org/en/william-adolphe-bouguereau/dante-and-virgil-1850,096_William-Adolphe_Bouguerea_-_Dante_and_Virgil_2803x3515.jpg,7884464
98,The Third of May 1808 (Execution of the Defenders of Madrid),Francisco Goya,1814,5000,3862,19.31,https://uploads7.wikiart.org/00142/images/francisco-goya/the-third-of-may-1808-execution-of-the-defenders-of-madrid.jpg,https://www.wikiart.org/en/francisco-goya/the-third-of-may-1808-execution-of-the-defenders-of-madrid-1814-1,098_Francisco_Goya_-_The_Third_of_May_1808_(Execution_of_5000x3862.jpg,3743472
99,Mystery and Melancholy of a Street,Giorgio de Chirico,1914,755,927,0.7,https://uploads1.wikiart.org/images/giorgio-de-chirico/mystery-and-melancholy-of-a-street-1914.jpg,https://www.wikiart.org/en/giorgio-de-chirico/mystery-and-melancholy-of-a-street-1914,099_Giorgio_de_Chirico_-_Mystery_and_Melancholy_of_a_Street_755x927.jpg,142453
100,Still Life - Vase with Fifteen Sunflowers,Vincent van Gogh,1888,2040,2591,5.29,https://uploads6.wikiart.org/images/vincent-van-gogh/still-life-vase-with-fifteen-sunflowers-1888-1.jpg,https://www.wikiart.org/en/vincent-van-gogh/still-life-vase-with-fifteen-sunflowers-1888-1,100_Vincent_van_Gogh_-_Still_Life_-_Vase_with_Fifteen_Sunf_2040x2591.jpg,824563
